 v-sweep         v(out)          v-sweep         v(outpl)        v-sweep         deriv(v(out))   v-sweep         deriv(v(outpl))
 8.99000000e-01  6.74672476e-01  8.99000000e-01  6.78546424e-01  8.99000000e-01  7.38625496e+01  8.99000000e-01  7.73388715e+01 
 8.99010000e-01  6.75414255e-01  8.99010000e-01  6.79323410e-01  8.99010000e-01  7.44933340e+01  8.99010000e-01  7.80582873e+01 
 8.99020000e-01  6.76162342e-01  8.99020000e-01  6.80107590e-01  8.99020000e-01  7.51297254e+01  8.99020000e-01  7.87877041e+01 
 8.99030000e-01  6.76916850e-01  8.99030000e-01  6.80899164e-01  8.99030000e-01  7.57813094e+01  8.99030000e-01  7.95294074e+01 
 8.99040000e-01  6.77677969e-01  8.99040000e-01  6.81698178e-01  8.99040000e-01  7.64499380e+01  8.99040000e-01  8.02138980e+01 
 8.99050000e-01  6.78445848e-01  8.99050000e-01  6.82503442e-01  8.99050000e-01  7.71375347e+01  8.99050000e-01  8.11138913e+01 
 8.99060000e-01  6.79220719e-01  8.99060000e-01  6.83320456e-01  8.99060000e-01  7.78446308e+01  8.99060000e-01  8.20207606e+01 
 8.99070000e-01  6.80002741e-01  8.99070000e-01  6.84143857e-01  8.99070000e-01  7.85724982e+01  8.99070000e-01  8.27687198e+01 
 8.99080000e-01  6.80792169e-01  8.99080000e-01  6.84975830e-01  8.99080000e-01  7.93181279e+01  8.99080000e-01  8.35574065e+01 
 8.99090000e-01  6.81589104e-01  8.99090000e-01  6.85815005e-01  8.99090000e-01  8.00861788e+01  8.99090000e-01  8.45364972e+01 
 8.99100000e-01  6.82393893e-01  8.99100000e-01  6.86666560e-01  8.99100000e-01  8.08813146e+01  8.99100000e-01  8.55445921e+01 
 8.99110000e-01  6.83206730e-01  8.99110000e-01  6.87525897e-01  8.99110000e-01  8.16942123e+01  8.99110000e-01  8.64198292e+01 
 8.99120000e-01  6.84027777e-01  8.99120000e-01  6.88394957e-01  8.99120000e-01  8.25322696e+01  8.99120000e-01  8.74083812e+01 
 8.99130000e-01  6.84857375e-01  8.99130000e-01  6.89274065e-01  8.99130000e-01  8.34004137e+01  8.99130000e-01  8.84303474e+01 
 8.99140000e-01  6.85695785e-01  8.99140000e-01  6.90163564e-01  8.99140000e-01  8.42967741e+01  8.99140000e-01  8.94855288e+01 
 8.99150000e-01  6.86543311e-01  8.99150000e-01  6.91063775e-01  8.99150000e-01  8.52170955e+01  8.99150000e-01  9.05816098e+01 
 8.99160000e-01  6.87400127e-01  8.99160000e-01  6.91975196e-01  8.99160000e-01  8.61659647e+01  8.99160000e-01  9.17166873e+01 
 8.99170000e-01  6.88266630e-01  8.99170000e-01  6.92898109e-01  8.99170000e-01  8.71522577e+01  8.99170000e-01  9.28889193e+01 
 8.99180000e-01  6.89143172e-01  8.99180000e-01  6.93832974e-01  8.99180000e-01  8.81694256e+01  8.99180000e-01  9.41067642e+01 
 8.99190000e-01  6.90030019e-01  8.99190000e-01  6.94780244e-01  8.99190000e-01  8.92203594e+01  8.99190000e-01  9.53706262e+01 
 8.99200000e-01  6.90927580e-01  8.99200000e-01  6.95740387e-01  8.99200000e-01  9.03087626e+01  8.99200000e-01  9.66826057e+01 
 8.99210000e-01  6.91836194e-01  8.99210000e-01  6.96713896e-01  8.99210000e-01  9.14335985e+01  8.99210000e-01  9.80461010e+01 
 8.99220000e-01  6.92756252e-01  8.99220000e-01  6.97701309e-01  8.99220000e-01  9.26021760e+01  8.99220000e-01  9.94643018e+01 
 8.99230000e-01  6.93688237e-01  8.99230000e-01  6.98703182e-01  8.99230000e-01  9.38132265e+01  8.99230000e-01  1.00940195e+02 
 8.99240000e-01  6.94632516e-01  8.99240000e-01  6.99720113e-01  8.99240000e-01  9.50661369e+01  8.99240000e-01  1.02477460e+02 
 8.99250000e-01  6.95589560e-01  8.99250000e-01  7.00752732e-01  8.99250000e-01  9.63738989e+01  8.99250000e-01  1.04079984e+02 
 8.99260000e-01  6.96559994e-01  8.99260000e-01  7.01801712e-01  8.99260000e-01  9.77286109e+01  8.99260000e-01  1.05751954e+02 
 8.99270000e-01  6.97544132e-01  8.99270000e-01  7.02867771e-01  8.99270000e-01  9.91344211e+01  8.99270000e-01  1.07497912e+02 
 8.99280000e-01  6.98542682e-01  8.99280000e-01  7.03951671e-01  8.99280000e-01  1.00602823e+02  8.99280000e-01  1.09204135e+02 
 8.99290000e-01  6.99556189e-01  8.99290000e-01  7.05051853e-01  8.99290000e-01  1.02127945e+02  8.99290000e-01  1.11231943e+02 
 8.99300000e-01  7.00585241e-01  8.99300000e-01  7.06176309e-01  8.99300000e-01  1.03718300e+02  8.99300000e-01  1.13349860e+02 
 8.99310000e-01  7.01630555e-01  8.99310000e-01  7.07318851e-01  8.99310000e-01  1.05375975e+02  8.99310000e-01  1.15326924e+02 
 8.99320000e-01  7.02692761e-01  8.99320000e-01  7.08482848e-01  8.99320000e-01  1.07110162e+02  8.99320000e-01  1.17526026e+02 
 8.99330000e-01  7.03772758e-01  8.99330000e-01  7.09669371e-01  8.99330000e-01  1.08923992e+02  8.99330000e-01  1.19836074e+02 
 8.99340000e-01  7.04871241e-01  8.99340000e-01  7.10879569e-01  8.99340000e-01  1.10815580e+02  8.99340000e-01  1.22265330e+02 
 8.99350000e-01  7.05989070e-01  8.99350000e-01  7.12114678e-01  8.99350000e-01  1.12793962e+02  8.99350000e-01  1.24822850e+02 
 8.99360000e-01  7.07127120e-01  8.99360000e-01  7.13376026e-01  8.99360000e-01  1.14870471e+02  8.99360000e-01  1.27518543e+02 
 8.99370000e-01  7.08286479e-01  8.99370000e-01  7.14665049e-01  8.99370000e-01  1.17054520e+02  8.99370000e-01  1.30363295e+02 
 8.99380000e-01  7.09468210e-01  8.99380000e-01  7.15983292e-01  8.99380000e-01  1.19337863e+02  8.99380000e-01  1.33369045e+02 
 8.99390000e-01  7.10673236e-01  8.99390000e-01  7.17332429e-01  8.99390000e-01  1.21743072e+02  8.99390000e-01  1.36548938e+02 
 8.99400000e-01  7.11903072e-01  8.99400000e-01  7.18714271e-01  8.99400000e-01  1.24277121e+02  8.99400000e-01  1.39917432e+02 
 8.99410000e-01  7.13158779e-01  8.99410000e-01  7.20130778e-01  8.99410000e-01  1.26941277e+02  8.99410000e-01  1.43490378e+02 
 8.99420000e-01  7.14441897e-01  8.99420000e-01  7.21584079e-01  8.99420000e-01  1.29756371e+02  8.99420000e-01  1.47285330e+02 
 8.99430000e-01  7.15753906e-01  8.99430000e-01  7.23076485e-01  8.99430000e-01  1.32726725e+02  8.99430000e-01  1.51319174e+02 
 8.99440000e-01  7.17096432e-01  8.99440000e-01  7.24610462e-01  8.99440000e-01  1.35867178e+02  8.99440000e-01  1.55620349e+02 
 8.99450000e-01  7.18471250e-01  8.99450000e-01  7.26188892e-01  8.99450000e-01  1.39193120e+02  8.99450000e-01  1.60207493e+02 
 8.99460000e-01  7.19880294e-01  8.99460000e-01  7.27814612e-01  8.99460000e-01  1.42719807e+02  8.99460000e-01  1.64884964e+02 
 8.99470000e-01  7.21325646e-01  8.99470000e-01  7.29486591e-01  8.99470000e-01  1.46464031e+02  8.99470000e-01  1.70173289e+02 
 8.99480000e-01  7.22809575e-01  8.99480000e-01  7.31218078e-01  8.99480000e-01  1.50444049e+02  8.99480000e-01  1.76161762e+02 
 8.99490000e-01  7.24334527e-01  8.99490000e-01  7.33009826e-01  8.99490000e-01  1.54675326e+02  8.99490000e-01  1.82121995e+02 
 8.99500000e-01  7.25903081e-01  8.99500000e-01  7.34860518e-01  8.99500000e-01  1.59190822e+02  8.99500000e-01  1.88411291e+02 
 8.99510000e-01  7.27518343e-01  8.99510000e-01  7.36778052e-01  8.99510000e-01  1.64012244e+02  8.99510000e-01  1.95347616e+02 
 8.99520000e-01  7.29183326e-01  8.99520000e-01  7.38767470e-01  8.99520000e-01  1.69155324e+02  8.99520000e-01  2.02806406e+02 
 8.99530000e-01  7.30901450e-01  8.99530000e-01  7.40834180e-01  8.99530000e-01  1.74663503e+02  8.99530000e-01  2.10834836e+02 
 8.99540000e-01  7.32676596e-01  8.99540000e-01  7.42984167e-01  8.99540000e-01  1.80560564e+02  8.99540000e-01  2.19482104e+02 
 8.99550000e-01  7.34512661e-01  8.99550000e-01  7.45223822e-01  8.99550000e-01  1.86887423e+02  8.99550000e-01  2.28794013e+02 
 8.99560000e-01  7.36414345e-01  8.99560000e-01  7.47560047e-01  8.99560000e-01  1.93690656e+02  8.99560000e-01  2.38819696e+02 
 8.99570000e-01  7.38386474e-01  8.99570000e-01  7.50000216e-01  8.99570000e-01  2.00994951e+02  8.99570000e-01  2.49507410e+02 
 8.99580000e-01  7.40434244e-01  8.99580000e-01  7.52550195e-01  8.99580000e-01  2.08845086e+02  8.99580000e-01  2.61190138e+02 
 8.99590000e-01  7.42563376e-01  8.99590000e-01  7.55224019e-01  8.99590000e-01  2.17289204e+02  8.99590000e-01  2.73693636e+02 
 8.99600000e-01  7.44780028e-01  8.99600000e-01  7.58024068e-01  8.99600000e-01  2.26377492e+02  8.99600000e-01  2.86870317e+02 
 8.99610000e-01  7.47090926e-01  8.99610000e-01  7.60961425e-01  8.99610000e-01  2.36157000e+02  8.99610000e-01  3.00987606e+02 
 8.99620000e-01  7.49503168e-01  8.99620000e-01  7.64043820e-01  8.99620000e-01  2.46658058e+02  8.99620000e-01  3.15891901e+02 
 8.99630000e-01  7.52024087e-01  8.99630000e-01  7.67279263e-01  8.99630000e-01  2.57930448e+02  8.99630000e-01  3.31547014e+02 
 8.99640000e-01  7.54661777e-01  8.99640000e-01  7.70674760e-01  8.99640000e-01  2.70007374e+02  8.99640000e-01  3.47827534e+02 
 8.99650000e-01  7.57424234e-01  8.99650000e-01  7.74235814e-01  8.99650000e-01  2.82897491e+02  8.99650000e-01  3.64568055e+02 
 8.99660000e-01  7.60319727e-01  8.99660000e-01  7.77966121e-01  8.99660000e-01  2.96589331e+02  8.99660000e-01  3.81528691e+02 
 8.99670000e-01  7.63356021e-01  8.99670000e-01  7.81866388e-01  8.99670000e-01  3.11060072e+02  8.99670000e-01  3.98421355e+02 
 8.99680000e-01  7.66540928e-01  8.99680000e-01  7.85934548e-01  8.99680000e-01  3.26275084e+02  8.99680000e-01  4.14910334e+02 
 8.99690000e-01  7.69881523e-01  8.99690000e-01  7.90164594e-01  8.99690000e-01  3.42090144e+02  8.99690000e-01  4.31491160e+02 
 8.99700000e-01  7.73382731e-01  8.99700000e-01  7.94564372e-01  8.99700000e-01  3.58345300e+02  8.99700000e-01  4.45231473e+02 
 8.99710000e-01  7.77048429e-01  8.99710000e-01  7.99069224e-01  8.99710000e-01  3.74865236e+02  8.99710000e-01  4.57416744e+02 
 8.99720000e-01  7.80880036e-01  8.99720000e-01  8.03712707e-01  8.99720000e-01  3.91362347e+02  8.99720000e-01  4.69429089e+02 
 8.99730000e-01  7.84875676e-01  8.99730000e-01  8.08457806e-01  8.99730000e-01  4.07522034e+02  8.99730000e-01  4.78480068e+02 
 8.99740000e-01  7.89030476e-01  8.99740000e-01  8.13282308e-01  8.99740000e-01  4.23005570e+02  8.99740000e-01  4.85245139e+02 
 8.99750000e-01  7.93335787e-01  8.99750000e-01  8.18162709e-01  8.99750000e-01  4.37442390e+02  8.99750000e-01  4.89652002e+02 
 8.99760000e-01  7.97779324e-01  8.99760000e-01  8.23075348e-01  8.99760000e-01  4.50455672e+02  8.99760000e-01  4.91730707e+02 
 8.99770000e-01  8.02344900e-01  8.99770000e-01  8.27997323e-01  8.99770000e-01  4.61730285e+02  8.99770000e-01  4.91594883e+02 
 8.99780000e-01  8.07013930e-01  8.99780000e-01  8.32907246e-01  8.99780000e-01  4.71022443e+02  8.99780000e-01  4.89428521e+02 
 8.99790000e-01  8.11765349e-01  8.99790000e-01  8.37785893e-01  8.99790000e-01  4.78166470e+02  8.99790000e-01  4.85444224e+02 
 8.99800000e-01  8.16577259e-01  8.99800000e-01  8.42616130e-01  8.99800000e-01  4.83028627e+02  8.99800000e-01  4.79900012e+02 
 8.99810000e-01  8.21425922e-01  8.99810000e-01  8.47383893e-01  8.99810000e-01  4.85619145e+02  8.99810000e-01  4.73060506e+02 
 8.99820000e-01  8.26289642e-01  8.99820000e-01  8.52077340e-01  8.99820000e-01  4.86069421e+02  8.99820000e-01  4.65162234e+02 
 8.99830000e-01  8.31147310e-01  8.99830000e-01  8.56687138e-01  8.99830000e-01  4.84508327e+02  8.99830000e-01  4.56441311e+02 
 8.99840000e-01  8.35979809e-01  8.99840000e-01  8.61206166e-01  8.99840000e-01  4.81134620e+02  8.99840000e-01  4.47106641e+02 
 8.99850000e-01  8.40770003e-01  8.99850000e-01  8.65629271e-01  8.99850000e-01  4.76175131e+02  8.99850000e-01  4.37341467e+02 
 8.99860000e-01  8.45503311e-01  8.99860000e-01  8.69952996e-01  8.99860000e-01  4.69897240e+02  8.99860000e-01  4.27350234e+02 
 8.99870000e-01  8.50167947e-01  8.99870000e-01  8.74176275e-01  8.99870000e-01  4.62528983e+02  8.99870000e-01  4.17120840e+02 
 8.99880000e-01  8.54753891e-01  8.99880000e-01  8.78295413e-01  8.99880000e-01  4.54278236e+02  8.99880000e-01  4.06861161e+02 
 8.99890000e-01  8.59253512e-01  8.99890000e-01  8.82313499e-01  8.99890000e-01  4.45376080e+02  8.99890000e-01  3.96745975e+02 
 8.99900000e-01  8.63661413e-01  8.99900000e-01  8.86230332e-01  8.99900000e-01  4.36003229e+02  8.99900000e-01  3.86704333e+02 
 8.99910000e-01  8.67973577e-01  8.99910000e-01  8.90047585e-01  8.99910000e-01  4.26311856e+02  8.99910000e-01  3.76844142e+02 
 8.99920000e-01  8.72187650e-01  8.99920000e-01  8.93767215e-01  8.99920000e-01  4.16416905e+02  8.99920000e-01  3.67200423e+02 
 8.99930000e-01  8.76301915e-01  8.99930000e-01  8.97391594e-01  8.99930000e-01  4.06468191e+02  8.99930000e-01  3.57801166e+02 
 8.99940000e-01  8.80317014e-01  8.99940000e-01  9.00923238e-01  8.99940000e-01  3.96535563e+02  8.99940000e-01  3.48668825e+02 
 8.99950000e-01  8.84232626e-01  8.99950000e-01  9.04364970e-01  8.99950000e-01  3.86674652e+02  8.99950000e-01  3.39867686e+02 
 8.99960000e-01  8.88050507e-01  8.99960000e-01  9.07720592e-01  8.99960000e-01  3.76973205e+02  8.99960000e-01  3.31266312e+02 
 8.99970000e-01  8.91772090e-01  8.99970000e-01  9.10990297e-01  8.99970000e-01  3.67463538e+02  8.99970000e-01  3.22955906e+02 
 8.99980000e-01  8.95399777e-01  8.99980000e-01  9.14179710e-01  8.99980000e-01  3.58169155e+02  8.99980000e-01  3.15028520e+02 
 8.99990000e-01  8.98935473e-01  8.99990000e-01  9.17290867e-01  8.99990000e-01  3.49136752e+02  8.99990000e-01  3.07346739e+02 
 9.00000000e-01  9.02382512e-01  9.00000000e-01  9.20326645e-01  9.00000000e-01  3.40374773e+02  9.00000000e-01  2.99948886e+02 
 9.00010000e-01  9.05742969e-01  9.00010000e-01  9.23289845e-01  9.00010000e-01  3.31864663e+02  9.00010000e-01  2.92831244e+02 
 9.00020000e-01  9.09019806e-01  9.00020000e-01  9.26183270e-01  9.00020000e-01  3.23650090e+02  9.00020000e-01  2.85983881e+02 
 9.00030000e-01  9.12215971e-01  9.00030000e-01  9.29009522e-01  9.00030000e-01  3.15718174e+02  9.00030000e-01  2.79395622e+02 
 9.00040000e-01  9.15334169e-01  9.00040000e-01  9.31771182e-01  9.00040000e-01  3.08056580e+02  9.00040000e-01  2.73062191e+02 
 9.00050000e-01  9.18377102e-01  9.00050000e-01  9.34470766e-01  9.00050000e-01  3.00682888e+02  9.00050000e-01  2.66971777e+02 
 9.00060000e-01  9.21347827e-01  9.00060000e-01  9.37110618e-01  9.00060000e-01  2.93579257e+02  9.00060000e-01  2.61113437e+02 
 9.00070000e-01  9.24248687e-01  9.00070000e-01  9.39693035e-01  9.00070000e-01  2.86735889e+02  9.00070000e-01  2.55479593e+02 
 9.00080000e-01  9.27082545e-01  9.00080000e-01  9.42220210e-01  9.00080000e-01  2.80152480e+02  9.00080000e-01  2.50060102e+02 
 9.00090000e-01  9.29851737e-01  9.00090000e-01  9.44694237e-01  9.00090000e-01  2.73813859e+02  9.00090000e-01  2.44845607e+02 
 9.00100000e-01  9.32558822e-01  9.00100000e-01  9.47117122e-01  9.00100000e-01  2.67721968e+02  9.00100000e-01  2.39876668e+02 
 9.00110000e-01  9.35206176e-01  9.00110000e-01  9.49491770e-01  9.00110000e-01  2.61854302e+02  9.00110000e-01  2.34995077e+02 
 9.00120000e-01  9.37795908e-01  9.00120000e-01  9.51817023e-01  9.00120000e-01  2.56207929e+02  9.00120000e-01  2.30293184e+02 
 9.00130000e-01  9.40330335e-01  9.00130000e-01  9.54097634e-01  9.00130000e-01  2.50776459e+02  9.00130000e-01  2.25876015e+02 
 9.00140000e-01  9.42811437e-01  9.00140000e-01  9.56334544e-01  9.00140000e-01  2.45557116e+02  9.00140000e-01  2.21540835e+02 
