 time            v(out)          time            v(outpl)       
 0.00000000e+00  9.02382515e-01  0.00000000e+00  9.20326645e-01 
 1.00000000e-07  9.02382521e-01  1.00000000e-07  9.20326652e-01 
 2.00000000e-07  9.02382535e-01  2.00000000e-07  9.20326665e-01 
 4.00000000e-07  9.02382577e-01  4.00000000e-07  9.20326705e-01 
 8.00000000e-07  9.02382746e-01  8.00000000e-07  9.20326869e-01 
 1.60000000e-06  9.02383424e-01  1.60000000e-06  9.20327521e-01 
 3.20000000e-06  9.02386100e-01  3.20000000e-06  9.20330058e-01 
 6.40000000e-06  9.02396392e-01  6.40000000e-06  9.20339710e-01 
 1.28000000e-05  9.02434238e-01  1.28000000e-05  9.20375026e-01 
 2.28000000e-05  9.02530522e-01  2.28000000e-05  9.20464230e-01 
 3.28000000e-05  9.02661218e-01  3.28000000e-05  9.20584250e-01 
 4.28000000e-05  9.02816191e-01  4.28000000e-05  9.20725478e-01 
 5.28000000e-05  9.02988287e-01  5.28000000e-05  9.20881254e-01 
 6.28000000e-05  9.03172414e-01  6.28000000e-05  9.21046978e-01 
 7.28000000e-05  9.03364919e-01  7.28000000e-05  9.21219471e-01 
 8.28000000e-05  9.03563246e-01  8.28000000e-05  9.21396538e-01 
 9.28000000e-05  9.03765589e-01  9.28000000e-05  9.21576665e-01 
 1.02800000e-04  9.03970667e-01  1.02800000e-04  9.21758805e-01 
 1.12800000e-04  9.04177580e-01  1.12800000e-04  9.21942237e-01 
 1.22800000e-04  9.04385679e-01  1.22800000e-04  9.22126464e-01 
 1.32800000e-04  9.04594506e-01  1.32800000e-04  9.22311142e-01 
 1.42800000e-04  9.04803742e-01  1.42800000e-04  9.22496035e-01 
 1.52800000e-04  9.05013169e-01  1.52800000e-04  9.22680981e-01 
 1.62800000e-04  9.05222610e-01  1.62800000e-04  9.22865865e-01 
 1.72800000e-04  9.05431939e-01  1.72800000e-04  9.23050611e-01 
 1.82800000e-04  9.05641125e-01  1.82800000e-04  9.23235165e-01 
 1.92800000e-04  9.05850068e-01  1.92800000e-04  9.23419490e-01 
 2.02800000e-04  9.06058703e-01  2.02800000e-04  9.23603560e-01 
 2.12800000e-04  9.06267048e-01  2.12800000e-04  9.23787357e-01 
 2.22800000e-04  9.06475068e-01  2.22800000e-04  9.23970869e-01 
 2.32800000e-04  9.06682772e-01  2.32800000e-04  9.24154086e-01 
 2.42800000e-04  9.06890154e-01  2.42800000e-04  9.24337002e-01 
 2.52800000e-04  9.07097143e-01  2.52800000e-04  9.24519613e-01 
 2.62800000e-04  9.07303740e-01  2.62800000e-04  9.24701915e-01 
 2.72800000e-04  9.07509974e-01  2.72800000e-04  9.24883905e-01 
 2.82800000e-04  9.07715827e-01  2.82800000e-04  9.25065580e-01 
 2.92800000e-04  9.07921321e-01  2.92800000e-04  9.25246941e-01 
 3.02800000e-04  9.08126452e-01  3.02800000e-04  9.25427983e-01 
 3.12800000e-04  9.08331208e-01  3.12800000e-04  9.25608708e-01 
 3.22800000e-04  9.08535579e-01  3.22800000e-04  9.25789112e-01 
 3.32800000e-04  9.08739545e-01  3.32800000e-04  9.25969196e-01 
 3.42800000e-04  9.08943130e-01  3.42800000e-04  9.26148958e-01 
 3.52800000e-04  9.09146333e-01  3.52800000e-04  9.26328398e-01 
 3.62800000e-04  9.09349168e-01  3.62800000e-04  9.26507513e-01 
 3.72800000e-04  9.09551613e-01  3.72800000e-04  9.26686305e-01 
 3.82800000e-04  9.09753665e-01  3.82800000e-04  9.26864770e-01 
 3.92800000e-04  9.09955337e-01  3.92800000e-04  9.27042910e-01 
 4.02800000e-04  9.10156630e-01  4.02800000e-04  9.27220722e-01 
 4.12800000e-04  9.10357536e-01  4.12800000e-04  9.27398206e-01 
 4.22800000e-04  9.10558041e-01  4.22800000e-04  9.27575361e-01 
 4.32800000e-04  9.10758155e-01  4.32800000e-04  9.27752187e-01 
 4.42800000e-04  9.10957872e-01  4.42800000e-04  9.27928682e-01 
 4.52800000e-04  9.11157208e-01  4.52800000e-04  9.28104846e-01 
 4.62800000e-04  9.11356153e-01  4.62800000e-04  9.28280678e-01 
 4.72800000e-04  9.11554690e-01  4.72800000e-04  9.28456177e-01 
 4.82800000e-04  9.11752821e-01  4.82800000e-04  9.28631342e-01 
 4.92800000e-04  9.11950549e-01  4.92800000e-04  9.28806173e-01 
 5.02800000e-04  9.12147862e-01  5.02800000e-04  9.28980668e-01 
 5.12800000e-04  9.12344757e-01  5.12800000e-04  9.29154828e-01 
 5.22800000e-04  9.12541284e-01  5.22800000e-04  9.29328651e-01 
 5.32800000e-04  9.12737449e-01  5.32800000e-04  9.29502136e-01 
 5.42800000e-04  9.12933208e-01  5.42800000e-04  9.29675283e-01 
 5.52800000e-04  9.13128558e-01  5.52800000e-04  9.29848091e-01 
 5.62800000e-04  9.13323501e-01  5.62800000e-04  9.30020560e-01 
 5.72800000e-04  9.13518029e-01  5.72800000e-04  9.30192689e-01 
 5.82800000e-04  9.13712147e-01  5.82800000e-04  9.30364476e-01 
 5.92800000e-04  9.13905843e-01  5.92800000e-04  9.30535921e-01 
 6.02800000e-04  9.14099147e-01  6.02800000e-04  9.30707025e-01 
 6.12800000e-04  9.14292059e-01  6.12800000e-04  9.30877785e-01 
 6.22800000e-04  9.14484557e-01  6.22800000e-04  9.31048201e-01 
 6.32800000e-04  9.14676626e-01  6.32800000e-04  9.31218273e-01 
 6.42800000e-04  9.14868294e-01  6.42800000e-04  9.31387999e-01 
 6.52800000e-04  9.15059574e-01  6.52800000e-04  9.31557380e-01 
 6.62800000e-04  9.15250454e-01  6.62800000e-04  9.31726415e-01 
 6.72800000e-04  9.15440895e-01  6.72800000e-04  9.31895102e-01 
 6.82800000e-04  9.15630894e-01  6.82800000e-04  9.32063442e-01 
 6.92800000e-04  9.15820508e-01  6.92800000e-04  9.32231434e-01 
 7.02800000e-04  9.16009728e-01  7.02800000e-04  9.32399076e-01 
 7.12800000e-04  9.16198536e-01  7.12800000e-04  9.32566369e-01 
 7.22800000e-04  9.16386917e-01  7.22800000e-04  9.32733311e-01 
 7.32800000e-04  9.16574884e-01  7.32800000e-04  9.32899904e-01 
 7.42800000e-04  9.16762443e-01  7.42800000e-04  9.33066144e-01 
 7.52800000e-04  9.16949580e-01  7.52800000e-04  9.33232033e-01 
 7.62800000e-04  9.17136309e-01  7.62800000e-04  9.33397569e-01 
 7.72800000e-04  9.17322616e-01  7.72800000e-04  9.33562752e-01 
 7.82800000e-04  9.17508481e-01  7.82800000e-04  9.33727581e-01 
 7.92800000e-04  9.17693928e-01  7.92800000e-04  9.33892056e-01 
 8.02800000e-04  9.17878981e-01  8.02800000e-04  9.34056176e-01 
 8.12800000e-04  9.18063619e-01  8.12800000e-04  9.34219941e-01 
 8.22800000e-04  9.18247818e-01  8.22800000e-04  9.34383350e-01 
 8.32800000e-04  9.18431613e-01  8.32800000e-04  9.34546403e-01 
 8.42800000e-04  9.18614971e-01  8.42800000e-04  9.34709098e-01 
 8.52800000e-04  9.18797890e-01  8.52800000e-04  9.34871436e-01 
 8.62800000e-04  9.18980394e-01  8.62800000e-04  9.35033416e-01 
 8.72800000e-04  9.19162478e-01  8.72800000e-04  9.35195037e-01 
 8.82800000e-04  9.19344116e-01  8.82800000e-04  9.35356300e-01 
 8.92800000e-04  9.19525323e-01  8.92800000e-04  9.35517202e-01 
 9.02800000e-04  9.19706126e-01  9.02800000e-04  9.35677745e-01 
 9.12800000e-04  9.19886513e-01  9.12800000e-04  9.35837927e-01 
 9.22800000e-04  9.20066486e-01  9.22800000e-04  9.35997748e-01 
 9.32800000e-04  9.20246033e-01  9.32800000e-04  9.36157208e-01 
 9.42800000e-04  9.20425151e-01  9.42800000e-04  9.36316305e-01 
 9.52800000e-04  9.20603833e-01  9.52800000e-04  9.36475040e-01 
 9.62800000e-04  9.20782091e-01  9.62800000e-04  9.36633412e-01 
 9.72800000e-04  9.20959922e-01  9.72800000e-04  9.36791420e-01 
 9.82800000e-04  9.21137338e-01  9.82800000e-04  9.36949065e-01 
 9.92800000e-04  9.21314337e-01  9.92800000e-04  9.37106346e-01 
 1.00280000e-03  9.21490882e-01  1.00280000e-03  9.37263261e-01 
 1.01280000e-03  9.21666981e-01  1.01280000e-03  9.37419811e-01 
 1.02280000e-03  9.21842660e-01  1.02280000e-03  9.37575996e-01 
 1.03280000e-03  9.22017901e-01  1.03280000e-03  9.37731814e-01 
 1.04280000e-03  9.22192708e-01  1.04280000e-03  9.37887266e-01 
 1.05280000e-03  9.22367100e-01  1.05280000e-03  9.38042352e-01 
 1.06280000e-03  9.22541069e-01  1.06280000e-03  9.38197069e-01 
 1.07280000e-03  9.22714597e-01  1.07280000e-03  9.38351419e-01 
 1.08280000e-03  9.22887671e-01  1.08280000e-03  9.38505401e-01 
 1.09280000e-03  9.23060325e-01  1.09280000e-03  9.38659014e-01 
 1.10280000e-03  9.23232565e-01  1.10280000e-03  9.38812258e-01 
 1.11280000e-03  9.23404360e-01  1.11280000e-03  9.38965133e-01 
 1.12280000e-03  9.23575718e-01  1.12280000e-03  9.39117638e-01 
 1.13280000e-03  9.23746642e-01  1.13280000e-03  9.39269773e-01 
 1.14280000e-03  9.23917107e-01  1.14280000e-03  9.39421538e-01 
 1.15280000e-03  9.24087135e-01  1.15280000e-03  9.39572931e-01 
 1.16280000e-03  9.24256765e-01  1.16280000e-03  9.39723954e-01 
 1.17280000e-03  9.24425982e-01  1.17280000e-03  9.39874604e-01 
 1.18280000e-03  9.24594750e-01  1.18280000e-03  9.40024883e-01 
 1.19280000e-03  9.24763064e-01  1.19280000e-03  9.40174789e-01 
 1.20280000e-03  9.24930938e-01  1.20280000e-03  9.40324323e-01 
 1.21280000e-03  9.25098385e-01  1.21280000e-03  9.40473483e-01 
 1.22280000e-03  9.25265408e-01  1.22280000e-03  9.40622270e-01 
 1.23280000e-03  9.25431983e-01  1.23280000e-03  9.40770683e-01 
 1.24280000e-03  9.25598109e-01  1.24280000e-03  9.40918722e-01 
 1.25280000e-03  9.25763781e-01  1.25280000e-03  9.41066387e-01 
 1.26280000e-03  9.25929046e-01  1.26280000e-03  9.41213677e-01 
 1.27280000e-03  9.26093876e-01  1.27280000e-03  9.41360592e-01 
 1.28280000e-03  9.26258231e-01  1.28280000e-03  9.41507132e-01 
 1.29280000e-03  9.26422151e-01  1.29280000e-03  9.41653296e-01 
