 time            v(out)          time            v(outpl)        time            v(outdrl)       time            v(outdrlpl)    
 0.00000000e+00  7.04414977e-01  0.00000000e+00  6.74312255e-01  0.00000000e+00  6.99507471e-01  0.00000000e+00  7.02353097e-01 
 1.00000000e-05  7.04385002e-01  1.00000000e-05  6.74283180e-01  1.00000000e-05  6.99507466e-01  1.00000000e-05  7.02353079e-01 
 1.55958930e-05  7.04377241e-01  1.55958930e-05  6.74274385e-01  1.55958930e-05  6.99365806e-01  1.55958930e-05  7.02215240e-01 
 2.67876790e-05  7.04355578e-01  2.67876790e-05  6.74251054e-01  2.67876790e-05  6.99059612e-01  2.67876790e-05  7.01909953e-01 
 4.91712510e-05  7.04310228e-01  4.91712510e-05  6.74202669e-01  4.91712510e-05  6.98445802e-01  4.91712510e-05  7.01289762e-01 
 9.39383950e-05  7.04221324e-01  9.39383950e-05  6.74107495e-01  9.39383950e-05  6.97220079e-01  9.39383950e-05  7.00054430e-01 
 1.83472683e-04  7.04041853e-01  1.83472683e-04  6.73915509e-01  1.83472683e-04  6.94769301e-01  1.83472683e-04  6.97582158e-01 
 3.62541259e-04  7.03684289e-01  3.62541259e-04  6.73532934e-01  3.62541259e-04  6.89885145e-01  3.62541259e-04  6.92656820e-01 
 7.20678411e-04  7.02963370e-01  7.20678411e-04  6.72762805e-01  7.20678411e-04  6.80232135e-01  7.20678411e-04  6.82921614e-01 
 1.43695271e-03  7.01487336e-01  1.43695271e-03  6.71193960e-01  1.43695271e-03  6.61815027e-01  1.43695271e-03  6.64353011e-01 
 2.43695271e-03  6.99271606e-01  2.43695271e-03  6.68875315e-01  2.43695271e-03  6.39526096e-01  2.43695271e-03  6.41888308e-01 
 3.43695271e-03  6.96782597e-01  3.43695271e-03  6.66330585e-01  3.43695271e-03  6.23133738e-01  3.43695271e-03  6.25372888e-01 
 4.43695271e-03  6.93946521e-01  4.43695271e-03  6.63499013e-01  4.43695271e-03  6.14200409e-01  4.43695271e-03  6.16372787e-01 
 5.43695271e-03  6.90740399e-01  5.43695271e-03  6.60362863e-01  5.43695271e-03  6.13577828e-01  5.43695271e-03  6.15742962e-01 
 6.43695271e-03  6.87187920e-01  6.43695271e-03  6.56945203e-01  6.43695271e-03  6.21322803e-01  6.43695271e-03  6.23538887e-01 
 7.43695271e-03  6.83366515e-01  7.43695271e-03  6.53315335e-01  7.43695271e-03  6.36700218e-01  7.43695271e-03  6.39025515e-01 
 8.43695271e-03  6.79388924e-01  8.43695271e-03  6.49572417e-01  8.43695271e-03  6.58246236e-01  8.43695271e-03  6.60734641e-01 
 9.43695271e-03  6.75392436e-01  9.43695271e-03  6.45833979e-01  9.43695271e-03  6.83894291e-01  9.43695271e-03  6.86590467e-01 
 1.04369527e-02  6.71515588e-01  1.04369527e-02  6.42217280e-01  1.04369527e-02  7.11170211e-01  1.04369527e-02  7.14095344e-01 
 1.14369527e-02  6.67882130e-01  1.14369527e-02  6.38825135e-01  1.14369527e-02  7.37399536e-01  1.14369527e-02  7.40532541e-01 
