 time            v(out)          time            v(outpl)       
 0.00000000e+00  9.00008293e-01  0.00000000e+00  8.67521731e-01 
 1.00000000e-07  9.00008292e-01  1.00000000e-07  8.67521729e-01 
 2.00000000e-07  9.00008291e-01  2.00000000e-07  8.67521728e-01 
 4.00000000e-07  9.00008289e-01  4.00000000e-07  8.67521726e-01 
 8.00000000e-07  9.00008291e-01  8.00000000e-07  8.67521726e-01 
 1.60000000e-06  9.00008297e-01  1.60000000e-06  8.67521728e-01 
 3.20000000e-06  9.00008316e-01  3.20000000e-06  8.67521729e-01 
 6.40000000e-06  9.00008327e-01  6.40000000e-06  8.67521723e-01 
 1.28000000e-05  9.00015183e-01  1.28000000e-05  8.67529300e-01 
 2.56000000e-05  9.00036189e-01  2.56000000e-05  8.67552134e-01 
 5.12000000e-05  9.00072172e-01  5.12000000e-05  8.67591187e-01 
 1.00718017e-04  9.00147129e-01  1.00718017e-04  8.67672671e-01 
 1.99754051e-04  9.00291753e-01  1.99754051e-04  8.67829841e-01 
 3.97826119e-04  9.00584884e-01  3.97826119e-04  8.68148580e-01 
 7.93970255e-04  9.01158198e-01  7.93970255e-04  8.68773105e-01 
 1.58625853e-03  9.02247691e-01  1.58625853e-03  8.69962771e-01 
 2.58625853e-03  9.03415133e-01  2.58625853e-03  8.71242270e-01 
 3.58625853e-03  9.04253246e-01  3.58625853e-03  8.72163716e-01 
 4.58625853e-03  9.04672548e-01  4.58625853e-03  8.72625734e-01 
 5.58625853e-03  9.04637582e-01  5.58625853e-03  8.72587003e-01 
 6.58625853e-03  9.04145363e-01  6.58625853e-03  8.72044753e-01 
 7.58625853e-03  9.03251669e-01  7.58625853e-03  8.71062472e-01 
 8.58625853e-03  9.02038303e-01  8.58625853e-03  8.69733609e-01 
 9.58625853e-03  9.00629818e-01  9.58625853e-03  8.68197386e-01 
 1.05862585e-02  8.99155696e-01  1.05862585e-02  8.66596741e-01 
 1.15862585e-02  8.97764336e-01  1.15862585e-02  8.65092079e-01 
 1.25862585e-02  8.96584920e-01  1.25862585e-02  8.63821164e-01 
 1.35862585e-02  8.95741105e-01  1.35862585e-02  8.62914217e-01 
 1.45862585e-02  8.95313105e-01  1.45862585e-02  8.62455007e-01 
 1.55862585e-02  8.95351907e-01  1.55862585e-02  8.62496513e-01 
 1.65862585e-02  8.95847123e-01  1.65862585e-02  8.63028011e-01 
 1.75862585e-02  8.96753205e-01  1.75862585e-02  8.64002082e-01 
 1.85862585e-02  8.97971643e-01  1.85862585e-02  8.65315866e-01 
 1.95862585e-02  8.99387948e-01  1.95862585e-02  8.66848482e-01 
 2.05862585e-02  9.00858431e-01  2.05862585e-02  8.68446518e-01 
 2.15862585e-02  9.02247667e-01  2.15862585e-02  8.69962747e-01 
 2.25862585e-02  9.03415190e-01  2.25862585e-02  8.71242291e-01 
 2.35862585e-02  9.04253222e-01  2.35862585e-02  8.72163682e-01 
 2.45862585e-02  9.04672595e-01  2.45862585e-02  8.72625767e-01 
 2.55862585e-02  9.04637501e-01  2.55862585e-02  8.72586971e-01 
 2.65862585e-02  9.04145379e-01  2.65862585e-02  8.72044783e-01 
 2.75862585e-02  9.03251644e-01  2.75862585e-02  8.71062441e-01 
 2.85862585e-02  9.02038321e-01  2.85862585e-02  8.69733642e-01 
 2.95862585e-02  9.00629756e-01  2.95862585e-02  8.68197355e-01 
 3.05862585e-02  8.99155702e-01  3.05862585e-02  8.66596773e-01 
 3.15862585e-02  8.97764336e-01  3.15862585e-02  8.65092048e-01 
 3.25862585e-02  8.96584966e-01  3.25862585e-02  8.63821195e-01 
 3.35862585e-02  8.95741085e-01  3.35862585e-02  8.62914186e-01 
 3.45862585e-02  8.95313155e-01  3.45862585e-02  8.62455040e-01 
 3.55862585e-02  8.95351847e-01  3.55862585e-02  8.62496482e-01 
 3.65862585e-02  8.95847178e-01  3.65862585e-02  8.63028042e-01 
 3.75862585e-02  8.96753154e-01  3.75862585e-02  8.64002050e-01 
 3.85862585e-02  8.97971709e-01  3.85862585e-02  8.65315897e-01 
 3.95862585e-02  8.99387903e-01  3.95862585e-02  8.66848451e-01 
 4.05862585e-02  9.00858491e-01  4.05862585e-02  8.68446549e-01 
 4.15862585e-02  9.02247630e-01  4.15862585e-02  8.69962715e-01 
 4.25862585e-02  9.03415235e-01  4.25862585e-02  8.71242322e-01 
 4.35862585e-02  9.04253203e-01  4.35862585e-02  8.72163653e-01 
 4.45862585e-02  9.04672590e-01  4.45862585e-02  8.72625799e-01 
 4.55862585e-02  9.04637479e-01  4.55862585e-02  8.72586939e-01 
 4.65862585e-02  9.04145447e-01  4.65862585e-02  8.72044815e-01 
 4.75862585e-02  9.03251576e-01  4.75862585e-02  8.71062411e-01 
 4.85862585e-02  9.02038366e-01  4.85862585e-02  8.69733672e-01 
 4.95862585e-02  9.00629724e-01  4.95862585e-02  8.68197325e-01 
 5.00000000e-02  9.00018495e-01  5.00000000e-02  8.67532807e-01 
 5.01000000e-02  8.99871346e-01  5.01000000e-02  8.67372943e-01 
 5.03000000e-02  8.99576095e-01  5.03000000e-02  8.67052484e-01 
 5.07000000e-02  8.98991430e-01  5.07000000e-02  8.66418724e-01 
 5.15000000e-02  8.97877029e-01  5.15000000e-02  8.65213736e-01 
 5.25000000e-02  8.96675713e-01  5.25000000e-02  8.63918837e-01 
 5.35000000e-02  8.95797681e-01  5.35000000e-02  8.62975009e-01 
 5.45000000e-02  8.95332693e-01  5.45000000e-02  8.62476014e-01 
