 frequency       gain_db        
 1.00000000e+00  2.97861418e+01 
 1.25892541e+00  2.97861418e+01 
 1.58489319e+00  2.97861418e+01 
 1.99526231e+00  2.97861418e+01 
 2.51188643e+00  2.97861418e+01 
 3.16227766e+00  2.97861418e+01 
 3.98107171e+00  2.97861418e+01 
 5.01187234e+00  2.97861418e+01 
 6.30957344e+00  2.97861418e+01 
 7.94328235e+00  2.97861418e+01 
 1.00000000e+01  2.97861418e+01 
 1.25892541e+01  2.97861418e+01 
 1.58489319e+01  2.97861418e+01 
 1.99526231e+01  2.97861417e+01 
 2.51188643e+01  2.97861417e+01 
 3.16227766e+01  2.97861416e+01 
 3.98107171e+01  2.97861414e+01 
 5.01187234e+01  2.97861412e+01 
 6.30957344e+01  2.97861408e+01 
 7.94328235e+01  2.97861403e+01 
 1.00000000e+02  2.97861393e+01 
 1.25892541e+02  2.97861379e+01 
 1.58489319e+02  2.97861356e+01 
 1.99526231e+02  2.97861320e+01 
 2.51188643e+02  2.97861263e+01 
 3.16227766e+02  2.97861172e+01 
 3.98107171e+02  2.97861027e+01 
 5.01187234e+02  2.97860799e+01 
 6.30957344e+02  2.97860437e+01 
 7.94328235e+02  2.97859862e+01 
 1.00000000e+03  2.97858952e+01 
 1.25892541e+03  2.97857510e+01 
 1.58489319e+03  2.97855225e+01 
 1.99526231e+03  2.97851603e+01 
 2.51188643e+03  2.97845863e+01 
 3.16227766e+03  2.97836768e+01 
 3.98107171e+03  2.97822357e+01 
 5.01187234e+03  2.97799526e+01 
 6.30957344e+03  2.97763367e+01 
 7.94328235e+03  2.97706119e+01 
 1.00000000e+04  2.97615543e+01 
 1.25892541e+04  2.97472375e+01 
 1.58489319e+04  2.97246430e+01 
 1.99526231e+04  2.96890725e+01 
 2.51188643e+04  2.96332872e+01 
 3.16227766e+04  2.95463158e+01 
 3.98107171e+04  2.94119473e+01 
 5.01187234e+04  2.92071552e+01 
 6.30957344e+04  2.89011571e+01 
 7.94328235e+04  2.84564490e+01 
 1.00000000e+05  2.78334425e+01 
 1.25892541e+05  2.69991666e+01 
 1.58489319e+05  2.59373432e+01 
 1.99526231e+05  2.46542845e+01 
 2.51188643e+05  2.31765800e+01 
 3.16227766e+05  2.15422281e+01 
 3.98107171e+05  1.97907745e+01 
 5.01187234e+05  1.79567701e+01 
 6.30957344e+05  1.60673461e+01 
 7.94328235e+05  1.41425783e+01 
 1.00000000e+06  1.21970896e+01 
 1.25892541e+06  1.02419398e+01 
 1.58489319e+06  8.28642536e+00 
 1.99526231e+06  6.33975366e+00 
 2.51188643e+06  4.41268899e+00 
 3.16227766e+06  2.51925209e+00 
 3.98107171e+06  6.78388567e-01 
 5.01187234e+06 -1.08486486e+00 
 6.30957344e+06 -2.73981907e+00 
 7.94328235e+06 -4.25387746e+00 
 1.00000000e+07 -5.60095938e+00 
 1.25892541e+07 -6.77360857e+00 
 1.58489319e+07 -7.79385053e+00 
 1.99526231e+07 -8.71436794e+00 
 2.51188643e+07 -9.59172967e+00 
 3.16227766e+07 -1.03484030e+01 
 3.98107171e+07 -1.02402045e+01 
 5.01187234e+07 -7.61097258e+00 
 6.30957344e+07 -3.02923487e+00 
 7.94328235e+07  3.80066733e-01 
 1.00000000e+08  9.49654336e-01 
 1.25892541e+08  4.64943705e-01 
 1.58489319e+08  1.06695199e+00 
 1.99526231e+08  2.54539344e+00 
 2.51188643e+08  4.05539047e+00 
 3.16227766e+08  5.35921545e+00 
 3.98107171e+08  6.43034801e+00 
 5.01187234e+08  7.26618097e+00 
 6.30957344e+08  7.86085002e+00 
 7.94328235e+08  8.20793534e+00 
 1.00000000e+09  8.30260513e+00 
 frequency       gain_db        
 1.00000000e+00  4.04583138e+01 
 1.25892541e+00  4.04583138e+01 
 1.58489319e+00  4.04583138e+01 
 1.99526231e+00  4.04583138e+01 
 2.51188643e+00  4.04583138e+01 
 3.16227766e+00  4.04583138e+01 
 3.98107171e+00  4.04583138e+01 
 5.01187234e+00  4.04583138e+01 
 6.30957344e+00  4.04583137e+01 
 7.94328235e+00  4.04583137e+01 
 1.00000000e+01  4.04583136e+01 
 1.25892541e+01  4.04583134e+01 
 1.58489319e+01  4.04583131e+01 
 1.99526231e+01  4.04583127e+01 
 2.51188643e+01  4.04583120e+01 
 3.16227766e+01  4.04583110e+01 
 3.98107171e+01  4.04583093e+01 
 5.01187234e+01  4.04583067e+01 
 6.30957344e+01  4.04583025e+01 
 7.94328235e+01  4.04582959e+01 
 1.00000000e+02  4.04582854e+01 
 1.25892541e+02  4.04582687e+01 
 1.58489319e+02  4.04582424e+01 
 1.99526231e+02  4.04582006e+01 
 2.51188643e+02  4.04581343e+01 
 3.16227766e+02  4.04580293e+01 
 3.98107171e+02  4.04578629e+01 
 5.01187234e+02  4.04575991e+01 
 6.30957344e+02  4.04571811e+01 
 7.94328235e+02  4.04565187e+01 
 1.00000000e+03  4.04554691e+01 
 1.25892541e+03  4.04538060e+01 
 1.58489319e+03  4.04511716e+01 
 1.99526231e+03  4.04469996e+01 
 2.51188643e+03  4.04403957e+01 
 3.16227766e+03  4.04299496e+01 
 3.98107171e+03  4.04134450e+01 
 5.01187234e+03  4.03874147e+01 
 6.30957344e+03  4.03464765e+01 
 7.94328235e+03  4.02823739e+01 
 1.00000000e+04  4.01826771e+01 
 1.25892541e+04  4.00292113e+01 
 1.58489319e+04  3.97965735e+01 
 1.99526231e+04  3.94516343e+01 
 2.51188643e+04  3.89555285e+01 
 3.16227766e+04  3.82696180e+01 
 3.98107171e+04  3.73650830e+01 
 5.01187234e+04  3.62323317e+01 
 6.30957344e+04  3.48845423e+01 
 7.94328235e+04  3.33528497e+01 
 1.00000000e+05  3.16765255e+01 
 1.25892541e+05  2.98938281e+01 
 1.58489319e+05  2.80367489e+01 
 1.99526231e+05  2.61295409e+01 
 2.51188643e+05  2.41894634e+01 
 3.16227766e+05  2.22283338e+01 
 3.98107171e+05  2.02541045e+01 
 5.01187234e+05  1.82721679e+01 
 6.30957344e+05  1.62863555e+01 
 7.94328235e+05  1.42996979e+01 
 1.00000000e+06  1.23150487e+01 
 1.25892541e+06  1.03356751e+01 
 1.58489319e+06  8.36592213e+00 
 1.99526231e+06  6.41205373e+00 
 2.51188643e+06  4.48336968e+00 
 3.16227766e+06  2.59364590e+00 
 3.98107171e+06  7.62783343e-01 
 5.01187234e+06 -9.81815475e-01 
 6.30957344e+06 -2.60521694e+00 
 7.94328235e+06 -4.06784915e+00 
 1.00000000e+07 -5.33236377e+00 
 1.25892541e+07 -6.37285756e+00 
 1.58489319e+07 -7.18063454e+00 
 1.99526231e+07 -7.75772600e+00 
 2.51188643e+07 -8.08682954e+00 
 3.16227766e+07 -8.05249520e+00 
 3.98107171e+07 -7.26563933e+00 
 5.01187234e+07 -4.93094190e+00 
 6.30957344e+07 -8.44992049e-01 
 7.94328235e+07  1.62672517e+00 
 1.00000000e+08  6.21018453e-01 
 1.25892541e+08 -1.41392732e-01 
 1.58489319e+08  6.27270592e-01 
 1.99526231e+08  2.01883674e+00 
 2.51188643e+08  3.52013451e+00 
 3.16227766e+08  4.88547798e+00 
 3.98107171e+08  6.02200195e+00 
 5.01187234e+08  6.89701518e+00 
 6.30957344e+08  7.49961988e+00 
 7.94328235e+08  7.82882763e+00 
 1.00000000e+09  7.88804199e+00 
 frequency       gain_db        
 1.00000000e+00  2.70727621e+01 
 1.25892541e+00  2.70727621e+01 
 1.58489319e+00  2.70727621e+01 
 1.99526231e+00  2.70727621e+01 
 2.51188643e+00  2.70727621e+01 
 3.16227766e+00  2.70727621e+01 
 3.98107171e+00  2.70727621e+01 
 5.01187234e+00  2.70727621e+01 
 6.30957344e+00  2.70727621e+01 
 7.94328235e+00  2.70727621e+01 
 1.00000000e+01  2.70727621e+01 
 1.25892541e+01  2.70727621e+01 
 1.58489319e+01  2.70727621e+01 
 1.99526231e+01  2.70727621e+01 
 2.51188643e+01  2.70727621e+01 
 3.16227766e+01  2.70727620e+01 
 3.98107171e+01  2.70727619e+01 
 5.01187234e+01  2.70727618e+01 
 6.30957344e+01  2.70727617e+01 
 7.94328235e+01  2.70727614e+01 
 1.00000000e+02  2.70727610e+01 
 1.25892541e+02  2.70727603e+01 
 1.58489319e+02  2.70727593e+01 
 1.99526231e+02  2.70727576e+01 
 2.51188643e+02  2.70727549e+01 
 3.16227766e+02  2.70727507e+01 
 3.98107171e+02  2.70727440e+01 
 5.01187234e+02  2.70727335e+01 
 6.30957344e+02  2.70727167e+01 
 7.94328235e+02  2.70726901e+01 
 1.00000000e+03  2.70726480e+01 
 1.25892541e+03  2.70725813e+01 
 1.58489319e+03  2.70724755e+01 
 1.99526231e+03  2.70723079e+01 
 2.51188643e+03  2.70720422e+01 
 3.16227766e+03  2.70716212e+01 
 3.98107171e+03  2.70709541e+01 
 5.01187234e+03  2.70698969e+01 
 6.30957344e+03  2.70682220e+01 
 7.94328235e+03  2.70655686e+01 
 1.00000000e+04  2.70613667e+01 
 1.25892541e+04  2.70547155e+01 
 1.58489319e+04  2.70441947e+01 
 1.99526231e+04  2.70275726e+01 
 2.51188643e+04  2.70013580e+01 
 3.16227766e+04  2.69601323e+01 
 3.98107171e+04  2.68955856e+01 
 5.01187234e+04  2.67952121e+01 
 6.30957344e+04  2.66407377e+01 
 7.94328235e+04  2.64066448e+01 
 1.00000000e+05  2.60597027e+01 
 1.25892541e+05  2.55610177e+01 
 1.58489319e+05  2.48720698e+01 
 1.99526231e+05  2.39643495e+01 
 2.51188643e+05  2.28287273e+01 
 3.16227766e+05  2.14788812e+01 
 3.98107171e+05  1.99463839e+01 
 5.01187234e+05  1.82708863e+01 
 6.30957344e+05  1.64910781e+01 
 7.94328235e+05  1.46396144e+01 
 1.00000000e+06  1.27418794e+01 
 1.25892541e+06  1.08170387e+01 
 1.58489319e+06  8.88001282e+00 
 1.99526231e+06  6.94364973e+00 
 2.51188643e+06  5.02087110e+00 
 3.16227766e+06  3.12678715e+00 
 3.98107171e+06  1.28074643e+00 
 5.01187234e+06 -4.91989388e-01 
 6.30957344e+06 -2.15979920e+00 
 7.94328235e+06 -3.68696719e+00 
 1.00000000e+07 -5.04011934e+00 
 1.25892541e+07 -6.19839501e+00 
 1.58489319e+07 -7.16297309e+00 
 1.99526231e+07 -7.95770283e+00 
 2.51188643e+07 -8.60721159e+00 
 3.16227766e+07 -9.04696777e+00 
 3.98107171e+07 -8.80009559e+00 
 5.01187234e+07 -6.68928095e+00 
 6.30957344e+07 -4.77085581e+00 
 7.94328235e+07 -7.01654547e+00 
 1.00000000e+08 -9.77327124e+00 
 1.25892541e+08 -9.91256469e+00 
 1.58489319e+08 -8.16632156e+00 
 1.99526231e+08 -6.48050262e+00 
 2.51188643e+08 -5.14603947e+00 
 3.16227766e+08 -4.02997103e+00 
 3.98107171e+08 -3.00830459e+00 
 5.01187234e+08 -2.01760933e+00 
 6.30957344e+08 -1.04291355e+00 
 7.94328235e+08 -1.04221640e-01 
 1.00000000e+09  7.50633159e-01 
 frequency       gain_db        
 1.00000000e+00  3.21413417e+01 
 1.25892541e+00  3.21413417e+01 
 1.58489319e+00  3.21413417e+01 
 1.99526231e+00  3.21413417e+01 
